time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,angular_acc_x,angular_acc_y,angular_acc_z,angular_jerk_x,angular_jerk_y,angular_jerk_z,angular_snap_x,angular_snap_y,angular_snap_z,heading,heading_rate,heading_acc
0.68000000,17.44210061,11.02992117,2.00997975,-2.43558905,0.57241962,0.03924512,-4.06754090,0.95596594,0.06588958,11.72246180,-2.75504901,-0.18691926,112.90637814,-26.53560312,-1.83730831,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.70000000,17.39259170,11.04155690,2.01077757,-2.51444466,0.59095250,0.04052307,-3.81049881,0.89555512,0.06178307,13.97662407,-3.28482914,-0.22367179,111.35471768,-26.17092693,-1.81928976,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.72000000,17.34156008,11.05355051,2.01160007,-2.58771303,0.60817226,0.04171161,-3.50915896,0.82473330,0.05695281,16.12786727,-3.79042090,-0.25890060,102.49862459,-24.08954057,-1.68294191,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.74000000,17.28912616,11.06587369,2.01244534,-2.65453873,0.62387784,0.04279672,-3.16708003,0.74433686,0.05145361,18.02455163,-4.23618547,-0.29014178,85.85612124,-20.17816821,-1.41970180,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.76000000,17.23542654,11.07849434,2.01331117,-2.71416833,0.63789217,0.04376599,-2.79091902,0.65593034,0.04539080,19.51010126,-4.58532388,-0.31483565,61.43134336,-14.43778186,-1.02882161,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.78000000,17.18061138,11.09137717,2.01419514,-2.76601264,0.65007678,0.04460962,-2.39042652,0.56180537,0.03892045,20.43367156,-4.80238419,-0.33049905,29.80896725,-7.00579395,-0.51896852,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.80000000,17.12484043,11.10448463,2.01509467,-2.80970670,0.66034589,0.04532143,-1.97820967,0.46492490,0.03224584,20.66269660,-4.85621034,-0.33492967,-7.75238879,1.82199115,0.09017200,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.82000000,17.06827810,11.11777808,2.01600711,-2.84516223,0.66867876,0.04589970,-1.56922571,0.36880423,0.02560956,20.09728567,-4.72332571,-0.32644240,-49.22882831,11.56991109,0.76630477,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.84000000,17.01108742,11.13121921,2.01692979,-2.87260715,0.67512895,0.04634786,-1.17996943,0.27732003,0.01928050,18.68641713,-4.39173904,-0.30413717,-91.74294526,21.56170905,1.46296018,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.86000000,16.95342354,11.14477155,2.01786021,-2.89260529,0.67982897,0.04667482,-0.82731944,0.19443915,0.01353528,16.44585731,-3.86515579,-0.26819780,-131.47973642,30.90077130,2.11797171,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.88000000,16.89542697,11.15840208,2.01879607,-2.90604953,0.68298868,0.04689490,-0.52700954,0.12385940,0.00863324,13.47771098,-3.16757293,-0.22022067,-163.60769742,38.45158289,2.65201047,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.90000000,16.83721742,11.17208267,2.01973542,-2.91412017,0.68488547,0.04702719,-0.29169366,0.06855474,0.00478474,9.99148940,-2.34823044,-0.16357201,-182.20614141,42.82264587,2.96719223,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.92000000,16.77888878,11.18579125,2.02067673,-2.91820042,0.68584442,0.04709416,-0.12857544,0.03021819,0.00211193,6.32656117,-1.48688778,-0.10377231,-180.19977996,42.35110435,2.94577188,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.94000000,16.72050632,11.19951247,2.02161891,-2.91973988,0.68620623,0.04711946,-0.03657616,0.00859624,0.00060162,2.97583012,-0.69938871,-0.04890562,-149.30160558,35.08932052,2.44894059,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.96000000,16.66210725,11.21323760,2.02256137,-2.92005649,0.68628064,0.04712467,-0.00301841,0.00070940,0.00004972,0.61046389,-0.14347309,-0.01005200,-79.96511506,18.79364610,1.31574076,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.97443156,16.61996614,11.22314173,2.02324146,-2.92006756,0.68628324,0.04712485,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.97443156,16.61996614,11.22314173,2.02324146,-2.92006756,0.68628324,0.04712485,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.99443156,16.56156479,11.23686740,2.02418395,-2.92006790,0.68628332,0.04712486,-0.00005015,0.00001179,0.00000081,-0.00499462,0.00117385,0.00008060,-0.24668734,0.05797722,0.00398111,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
1.01443156,16.50316341,11.25059307,2.02512645,-2.92007022,0.68628387,0.04712490,-0.00019898,0.00004676,0.00000321,-0.00986790,0.00231919,0.00015925,-0.24065186,0.05655874,0.00388371,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
1.03443156,16.44476195,11.26431876,2.02606895,-2.92007650,0.68628534,0.04712500,-0.00044406,0.00010437,0.00000717,-0.01462110,0.00343630,0.00023596,-0.23467779,0.05515469,0.00378729,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
1.05443156,16.38636032,11.27804449,2.02701145,-2.92008861,0.68628819,0.04712519,-0.00078303,0.00018403,0.00001264,-0.01925542,0.00452547,0.00031075,-0.22876486,0.05376502,0.00369187,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
1.07443156,16.32795836,11.29177030,2.02795396,-2.92010843,0.68629285,0.04712551,-0.00121350,0.00028520,0.00001958,-0.02377210,0.00558699,0.00038364,-0.22291282,0.05238966,0.00359743,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
