time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,reference_progress,pitch_angle
2.91900000,11.68649593,12.51140820,2.68730813,-3.01422178,0.35522222,0.26217608,-0.11465966,1.87438022,-0.13909312,0.66168017,-0.11964352,0.07832177,0.73602343,-0.06780148,-1.24920726,-0.63662115,135,0.00000000
2.98600000,11.48428705,12.54072479,2.70500934,-3.02132283,0.50627926,0.26898356,-0.15125832,1.36049464,-0.07519498,0.68095071,-0.08669987,0.04163877,0.72598587,-0.06202861,-1.47432240,-0.71239063,138,0.00000000
3.05400000,11.27863755,12.57844470,2.72399714,-3.02698644,0.59132160,0.29397858,-0.12152005,0.82670820,0.09526014,0.70005709,-0.05433135,0.00734743,0.71197906,0.03360936,-1.24899278,-0.75256667,142,0.00000000
3.12000000,11.07872489,12.61860486,2.74459472,-3.03044226,0.61667481,0.32910617,-0.06867329,0.35823745,0.21517223,0.71739606,-0.02660176,-0.01835305,0.69591552,0.08341304,-0.99645041,-0.74295025,145,0.00000000
3.18700000,10.87564734,12.65944814,2.76763140,-3.03107795,0.59616463,0.35576808,-0.03464352,-0.10343344,0.21267172,0.73317954,-0.00334252,-0.03762789,0.67898507,0.11013953,-0.75860466,-0.68885436,148,0.00000000
3.25500000,10.66959341,12.69825176,2.79236514,-3.02886733,0.54201770,0.36834959,0.01829543,-0.32971345,0.09076636,0.74728956,0.01220395,-0.04812151,0.66264146,0.11080949,-0.21068925,-0.61954306,152,0.00000000
3.31900000,10.47590953,12.73097841,2.81582337,-3.02315268,0.48144993,0.35912266,0.01940390,-0.56882086,-0.15532635,0.75901653,0.01876715,-0.04906677,0.64894850,0.09029903,-0.25488221,-0.51254574,155,0.00000000
3.38600000,10.27363996,12.76091588,2.83860735,-3.01497398,0.41116065,0.31883049,-0.03289317,-0.80072845,-0.47967438,0.76778593,0.02795427,-0.05690756,0.63756165,-0.04307474,-0.35720977,-0.36208215,158,0.00000000
3.45500000,10.06580447,12.78642357,2.85866356,-3.01025315,0.32913532,0.25996541,-0.05407516,-0.62380654,-0.77719984,0.77406627,0.02767421,-0.06206524,0.62944694,-0.18646692,0.32234888,-0.23327548,161,0.00000000
3.52000000,9.87017651,12.80563187,2.87308256,-3.00924434,0.26809889,0.18110691,-0.05574021,-0.25813514,-1.00168758,0.77931600,0.00770054,-0.04746182,0.62478368,-0.21643908,1.09626689,-0.14282548,164,0.00000000
3.58500000,9.67462924,12.82211878,2.88211024,-3.00715591,0.24744698,0.10001931,-0.05069154,0.21710606,-1.12651698,0.78278746,-0.02369035,-0.01921821,0.62154100,-0.24397035,1.36416217,-0.07316487,167,0.00000000
3.65400000,9.46730449,12.84000782,2.88627681,-3.00167036,0.28002919,0.02368705,-0.03434998,0.72709142,-1.09650154,0.78370274,-0.05792929,0.01210685,0.61831031,-0.19047939,1.24541022,-0.03159654,170,0.00000000
3.71900000,9.27247267,12.86059666,2.88580277,-2.99269968,0.35921305,-0.03539156,-0.03252930,1.06748163,-0.97030776,0.78295444,-0.08323442,0.03561437,0.61545593,-0.18174322,0.80581007,-0.01612315,173,0.00000000
3.78800000,9.06634754,12.88942403,2.88157420,-2.98238007,0.47919367,-0.08261454,-0.01986862,1.30638746,-0.72064998,0.78205715,-0.09860841,0.04628307,0.61361297,-0.13891636,0.25645486,-0.02035165,176,0.00000000
3.85500000,8.86678410,12.92599552,2.87508562,-2.97540807,0.61144333,-0.10825388,0.00382656,1.43928187,-0.48131309,0.78230440,-0.10263699,0.04653138,0.61261759,-0.02668689,-0.03492270,-0.04890086,180,0.00000000
3.91900000,8.67651923,12.96924139,2.86761561,-2.97053423,0.73697996,-0.12412108,0.03014962,1.45353269,-0.30673767,0.78391299,-0.09937928,0.04325407,0.61133728,0.06197728,-0.25156182,-0.08608292,182,0.00000000
3.98500000,8.48061952,13.02197493,2.85932407,-2.96586993,0.85704487,-0.12177314,0.05106803,1.31085016,-0.08062003,0.78688666,-0.08872082,0.03555089,0.60965083,0.19019774,-0.50168863,-0.12110849,186,0.00000000
4.05400000,8.27620445,13.08485768,2.85160140,-2.95842191,0.95881775,-0.10007526,0.06635088,1.06875965,0.17727449,0.79112090,-0.06821962,0.02453208,0.60734831,0.38993298,-0.69868206,-0.14594099,189,0.00000000
4.12000000,8.08140822,13.15044987,2.84613118,-2.94266653,1.02146377,-0.06367181,0.07654108,0.75441098,0.44754089,0.79550580,-0.04015947,0.01454809,0.60443866,0.60984011,-0.78333247,-0.15294180,192,0.00000000
4.18700000,7.88525797,13.21986314,2.84354164,-2.90943045,1.04279304,-0.01198437,0.08640346,0.35326175,0.70283991,0.79933803,-0.00557070,0.00779021,0.60080529,0.79436754,-0.75833198,-0.14318728,195,0.00000000
4.25400000,7.69217289,13.28917251,2.84486150,-2.85024976,1.01906879,0.05197402,0.10131912,-0.04754091,0.90334410,0.80175002,0.03145878,0.00599195,0.59680093,0.89891509,-0.63583779,-0.11781034,198,0.00000000
4.31900000,7.50964337,13.35352805,2.85046701,-2.76201668,0.95601700,0.11997111,0.12035174,-0.43215769,1.04955103,0.80237118,0.06582020,0.00942210,0.59310995,0.91569733,-0.45499324,-0.08220040,201,0.00000000
4.38700000,7.32602243,13.41526079,2.86107812,-2.63453812,0.85634519,0.19013368,0.15801044,-0.74879981,1.03509374,0.80130572,0.09666623,0.01778423,0.59012584,0.83588356,-0.24021263,-0.03900976,204,0.00000000
4.45300000,7.15721647,13.46790574,2.87570836,-2.47819333,0.73831734,0.25056415,0.20988936,-0.95866206,0.88341528,0.79903266,0.11935067,0.02903773,0.58860771,0.68224413,-0.04447878,0.00260495,206,0.00000000
